dias_descanso_eq1,dias_descanso_eq2,racha_eq1,racha_eq2,victorias_eq1_vs_eq2,victorias_eq2_vs_eq1,delta_rating_of,delta_rating_def,delta_margen_victoria,delta_simple_rating,delta_ws_total,delta_racha,delta_puntos,delta_asistencias,delta_rebotes,delta_robos,delta_tapones,delta_pct_tiros,delta_pct_triples,delta_pct_dos,delta_pct_efectivo,delta_pct_libres,delta_ritmo,delta_sos,delta_victorias,delta_derrotas,equipo1_gana
0,0,0,0,1,0,2.0999999999999943,-3.200000000000003,5.01,4.6899999999999995,21.00999999999999,0,0,-2,2,-1,2,-0.023999999999999966,-0.0010000000000000009,0.0129999999999999,0.0020000000000000018,-0.0010000000000000009,-1.0,-0.31999999999999995,10,-10,1
0,0,0,0,1,1,-0.6999999999999886,3.200000000000003,-3.7800000000000002,-3.7,32.39,0,-1,0,-1,0,0,0.010999999999999954,-0.01100000000000001,0.017000000000000015,0.0050000000000000044,-0.0040000000000000036,0.29999999999999716,0.08000000000000002,1,-1,1
0,0,0,0,0,1,-1.5,-1.2000000000000028,-0.33000000000000007,0.050000000000000044,-37.67999999999999,0,-1,-3,4,-1,-1,-0.01200000000000001,-0.006000000000000005,-0.017999999999999905,-0.014000000000000012,-0.015000000000000013,-0.10000000000000853,0.38,-6,6,0
0,0,0,0,1,1,6.099999999999994,-0.09999999999999432,5.98,5.54,-40.08,0,13,5,4,2,1,0.034999999999999976,0.014000000000000012,0.03700000000000003,0.026999999999999913,-0.01200000000000001,6.199999999999989,-0.44000000000000006,14,-14,1
0,0,0,0,1,1,4.099999999999994,3.3000000000000114,0.68,0.8099999999999999,13.359999999999971,0,6,3,2,-1,-2,0.020000000000000018,0.04899999999999999,0.0050000000000000044,0.025999999999999912,0.016000000000000014,0.10000000000000853,0.12999999999999995,-4,4,0
0,0,0,0,0,1,-4.0,4.799999999999997,-8.71,-8.41,20.89999999999999,0,-6,-3,-5,2,0,-0.03199999999999997,-0.045999999999999985,-0.02300000000000002,-0.03500000000000003,0.030000000000000027,-1.8999999999999915,0.3,-24,24,0
0,0,0,0,0,1,-11.200000000000003,2.5999999999999943,-13.829999999999998,-13.21,16.35000000000001,0,-11,1,0,0,0,-0.032999999999999974,-0.03500000000000003,-0.05799999999999994,-0.05399999999999994,-0.028000000000000025,-0.09999999999999432,0.62,-34,34,0
0,0,0,0,1,1,8.0,-5.799999999999997,13.62,14.07,-48.23000000000001,0,9,-1,2,1,0,0.025000000000000022,0.013999999999999957,0.019000000000000017,0.016000000000000014,-0.04500000000000004,1.0,0.44,33,-33,0
0,0,0,0,1,0,-3.6999999999999886,4.300000000000011,-7.869999999999999,-6.76,-19.430000000000007,0,-8,-3,-3,1,0,-0.01799999999999996,-0.020000000000000018,-0.038000000000000034,-0.03299999999999992,-0.05500000000000005,-3.700000000000003,1.1099999999999999,-18,18,1
0,0,0,0,0,1,-6.5,7.400000000000006,-14.19,-13.3,-20.109999999999985,0,-10,-2,-2,-2,-2,-0.024999999999999967,-0.017000000000000015,-0.016000000000000014,-0.020000000000000018,-0.01200000000000001,-3.299999999999997,0.8899999999999999,-31,31,0
0,0,0,0,0,1,-1.1000000000000085,-9.0,7.66,7.39,-12.990000000000009,0,-1,-3,1,2,0,0.0040000000000000036,-0.0050000000000000044,-0.006000000000000005,-0.006000000000000005,-0.013000000000000012,0.4000000000000057,-0.27,14,-14,0
0,0,0,0,0,1,-3.299999999999997,3.0,-6.279999999999999,-6.23,22.630000000000003,0,-3,-5,-2,-1,0,-0.0010000000000000009,-0.021999999999999964,-0.0010000000000000009,-0.0129999999999999,-0.0020000000000000018,0.09999999999999432,0.06,-12,12,0
